,ACC,ADANIENT,ADANIPORTS,AMARAJABAT,AMBUJACEM,APOLLOHOSP,APOLLOTYRE,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BANKBARODA,BATAINDIA,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,ZYDUSLIFE,CANBK,CIPLA,COALINDIA,COLPAL,CONCOR,DABUR,DIVISLAB,DLF,DRREDDY,EICHERMOT,EXIDEIND,FEDERALBNK,GAIL,GLENMARK,GMRINFRA,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,IBULHSGFIN,ICICIBANK,IDEA,IGL,INDUSINDBK,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,KOTAKBANK,L&TFH,LICHSGFIN,LT,LUPIN,M&M,M&MFIN,MARICO,MARUTI,MINDTREE,MOTHERSUMI,MRF,NMDC,NTPC,ONGC,PAGEIND,PETRONET,PFC,PIDILITIND,PNB,POWERGRID,RECLTD,RELIANCE,SAIL,SBIN,SIEMENS,SRF,SRTRANSFIN,SUNPHARMA,SUNTV,TATACHEM,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,TVSMOTOR,UBL,ULTRACEMCO,UPL,VEDL,VOLTAS,WIPRO,ZEEL,AARTIIND,ABB,ABBOTINDIA,ABCAPITAL,ABFRL,ALKEM,APLLTD,ASTRAL,ATUL,AUBANK,BAJAJFINSV,BALKRISIND,BALRAMCHIN,BANDHANBNK,BERGEPAINT,BSOFT,CANFINHOME,CHAMBLFERT,CHOLAFIN,COFORGE,COROMANDEL,CROMPTON,CUB,CUMMINSIND,DALBHARAT,DEEPAKNTR,DELTACORP,DIXON,ESCORTS,FSL,GNFC,GODREJPROP,GRANULES,GSPL,GUJGASLTD,HAL,HDFCAMC,HDFCLIFE,HINDCOPPER,HONAUT,ICICIGI,ICICIPRULI,IDFC,IDFCFIRSTB,IEX,INDHOTEL,INDIACEM,INDIAMART,INDIGO,INDUSTOWER,INTELLECT,IPCALAB,IRCTC,JKCEMENT,LALPATHLAB,LAURUSLABS,LTI,LTTS,MANAPPURAM,MCDOWELL-N,MCX,METROPOLIS,MFSL,MGL,MPHASIS,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAUKRI,NAVINFLUOR,NBCC,NESTLEIND,OBEROIRLTY,OFSS,PEL,PERSISTENT,PFIZER,PIIND,POLYCAB,PVR,RAIN,RAMCOCEM,RBLBANK,SBICARD,SBILIFE,SHREECEM,STAR,SYNGENE,TATACOMM,TATACONSUM,TORNTPOWER,TRENT,WHIRLPOOL
28-Mar-22,2059.65,1909.7,737,541.8,291.8,4658.6,188.95,114.05,3027.45,706.75,736,3687.75,7001.4,111.95,1928.25,205.05,699.5,733.05,49.85,345.7,14025.8,359.7,3094.8,353.05,228.7,1017.1,191.25,1519.1,659.95,515.15,4416.55,363.8,4285.45,2380,151.85,98.65,152.1,446.2,35.9,688.75,1610.95,1130.05,1163.95,2268.25,1432.8,2377.95,630.2,266.25,1975.1,153.45,710.35,9.95,365.8,935.15,1873.9,119.95,257.05,519.8,730.1,2644.45,1725.2,84.25,359.55,1741.6,752.4,769.25,158.05,474.7,7477.35,4232.75,135.35,65708.65,161.4,134.8,176.35,40188.7,191.75,113.8,2399.75,35.65,212.3,123.05,2621.95,99.85,497.5,2272.25,2605.75,1115.55,905.9,464.55,956.65,432.7,239.6,1338.95,3707.7,1524.45,2535.9,2728.3,607.4,1416.75,6359.95,780.75,413.4,1231.6,600.2,289.9,907.55,2002.9,16238.75,107.25,299.3,3604.55,761.6,2000.4,10357.95,1214.75,16518.95,2051.55,479.15,297.05,679.95,454,599.25,416.2,726.75,4337.65,798.5,367.4,124.35,1109.4,1383.65,2174,319.85,4174.35,1698.75,127.3,819.65,1628.95,311.35,258.45,482.25,1399.85,2094.7,512.6,113.55,38597.6,1265.75,478.7,63.15,38.45,230.4,231.95,205.5,4373.45,1964.3,209.8,860.05,999.45,766.25,2253,2564.65,590.75,6071.4,4893,114.5,872.1,1429.25,1982,703.05,760.75,3338.15,1291.7,346.55,122.7,4392.6,3924.95,36.9,16860.05,943.45,3501.35,2195.05,4631.45,4345.65,2750,2352.15,1883.3,200.5,728.5,130.6,846.5,1077,23197.55,357.6,591.15,1156.55,741.25,490.45,1279.55,1569.4
29-Mar-22,2128.55,1917.25,761.95,540,302.45,4613.75,189.9,114.1,3042.6,692.95,737.8,3689.1,7039.35,111.55,1952.75,207.4,707.95,754.95,49.1,343.45,14107.3,358.45,3103.8,356,228.45,1038.85,186,1523.4,647.65,515.8,4561.6,372.95,4323.55,2480.5,151.45,97.55,152.65,452.4,36.7,695.35,1623.7,1153.6,1167.7,2337.35,1451.8,2210.65,631.3,267.55,1987.05,160.1,715.3,9.85,369.2,929.15,1886,118.3,254.6,535.05,753.9,2629.65,1730,82.65,360.5,1746.65,761.5,773.35,158.2,482.5,7439.15,4250.95,136,65297.05,158.9,134.35,171,40806.05,193.2,112.25,2397.95,34.95,211.3,122.75,2622.55,98.8,495,2300,2621.25,1123.4,919.35,477,987.5,433.7,239.1,1334.65,3705.35,1522.35,2538.8,2809.9,613.45,1407.45,6526.6,782,410.35,1247.3,602.5,284.7,922.35,2038.8,16909.95,107.35,303.35,3660.5,760.25,2006.4,10434.4,1215.65,16501.7,2101.55,471.7,295.2,687.35,456.05,605.2,427.15,715.2,4407.95,808.45,376.55,126.35,1122.65,1431.7,2220.55,330.2,4232.85,1638.35,126.65,837.7,1632.3,310.85,253.1,488.3,1400.5,2094.05,523,112.45,38964.9,1275.85,495.55,61.65,37.9,225.35,240.65,209.4,4302.4,1963.15,215.1,903.6,1059.2,767.6,2372.7,2615.05,594.05,6024.25,4973.75,114,859.6,1421.7,2047.75,740,778.3,3378.05,1293.2,340.05,121.15,4493.7,4040.95,36.5,16921.9,941.5,3482.35,2186.45,4758,4415.4,2837.6,2350.8,1857.45,200.1,739.7,128.65,854.8,1101.25,23645.55,352.9,583.95,1153.85,743.2,490.55,1276.2,1570.6
30-Mar-22,2150.9,1995.25,767.4,536.85,303.05,4614.8,188.45,115,3081.55,675.6,750.45,3674.1,7251.85,114,1956.75,208.45,702.6,749.5,50.2,341.55,14458.55,360.05,3148.4,355.85,228.45,1028.95,182.9,1530.5,651.45,527.7,4538.6,382.85,4354.4,2486.55,152.5,97.05,153.45,449.65,37.1,727.8,1667.7,1150.9,1165.2,2385.45,1476.95,2271.65,599.8,264.45,2015.9,160.2,730.9,9.85,373.25,926.3,1903.95,117.2,249.2,519.85,717.55,2615.45,1763.1,80.65,359.3,1773.6,749.1,793.35,158.2,490,7598.6,4407.8,137.75,65358.9,159.2,135.3,162,41952.7,195.85,112.85,2440.3,35.05,217.1,123.45,2672.95,97.75,494.3,2343.45,2705.85,1124.45,920.6,488.4,983.9,435.65,241.7,1308.05,3731.55,1496.3,2523.15,2828.35,621.8,1455.5,6642.7,776.15,398.7,1268.65,600.8,294,941.95,2083.5,17276.3,108.4,299.1,3667.9,751.95,2011.7,10362.05,1202.2,17128.9,2106.95,481.2,300.2,693.55,454.2,611.45,421.75,733.45,4521.95,796.65,372.5,126.7,1107.8,1493.15,2216.5,324.7,4366.3,1651.95,127.1,818.6,1665.6,309.7,258.95,493.8,1404.6,2163.3,542.3,111.4,39937.7,1329.9,500.25,62.25,38.85,224.6,241.25,210.75,4416.35,1989.35,221.05,916.65,1076.8,789.55,2428.65,2624.05,597.7,6310.35,5109.3,114.7,880.25,1434.35,2057.55,744.2,782.8,3429,1315.2,345.5,116.8,4619.35,4057,36.7,17298,935.35,3551.75,2233.05,4787.2,4381.7,2851.25,2362.35,1869.05,196.8,772.05,129.25,868.9,1121.8,24089.15,356.5,599,1158.05,765.85,489.4,1257.1,1578.05
31-Mar-22,2151.35,2014.75,774.2,536.4,299.25,4516.1,191,117.25,3079.95,668.55,761.15,3653,7259.95,111.6,1961.4,210.8,700.6,754.95,49.35,335.6,14438.5,359.35,3206.4,348.5,227.75,1018.05,183.05,1542.25,672.15,536.2,4402.05,380.45,4295.45,2457.15,151.1,97.4,155.65,442,36.95,747.3,1664,1152.55,1163.75,2390.4,1470.35,2294.15,569.5,269.35,2048.65,157.8,730.3,9.65,373.15,935.4,1906.85,118.95,250.65,532.85,732.65,2636.5,1753.85,80.6,358.95,1767.65,747.05,806.55,159.15,503.7,7561.3,4302.9,139.45,65022.1,162.55,135,163.9,43189.35,193.75,112.6,2454.3,35.05,216.8,123.05,2634.75,98.55,493.55,2368.2,2679.35,1134.85,914.75,489.85,974.35,433.75,238.65,1307.2,3739.95,1499.45,2536.15,2791.95,625.65,1489.55,6602.3,769.6,403.35,1245.4,591.9,288.35,956.65,2157.95,17702.85,107.65,302.1,3620.7,741.6,2022.95,10292.55,1246.25,17060.45,2136.2,489.4,307.4,699.7,454.95,631.45,422.1,718.45,4457.5,799.6,374,128.9,1121.3,1495.6,2243.75,330.05,4308.8,1690.85,125.05,844.45,1672.2,306.5,259.05,503.25,1484.9,2146.05,538.2,113.75,39676.8,1328.3,500.9,61.75,39.7,224.7,238.5,209.5,4322.65,2014.15,222.05,945.75,1065.75,774.7,2431.3,2610.7,590.1,6155.4,5105.3,113.55,888.35,1415.45,2035.75,753.9,779.05,3376.85,1330.95,347.65,121.8,4509.45,4082.2,36.3,17380.55,939.85,3587.75,2186.9,4765.3,4348.15,2819.65,2364.4,1922.3,194,768.05,130.2,851.7,1121.45,24032.6,346.6,597.6,1228.6,777.4,491.85,1275.5,1572.85
01-Apr-22,2151,2043.65,785.75,558.35,304.95,4506.9,195.7,119.15,3114.15,682.35,774.55,3739.9,7408.1,116,1998.8,215.1,702,758.5,53.85,341.9,14553.75,374.4,3230.65,354.4,239.95,1014.85,186.15,1549.6,682.6,542.45,4379.7,385.95,4279.45,2481.2,156.9,101.6,162.05,452.35,38.9,753,1669.95,1173.1,1169.65,2452.3,1506,2240.15,570.5,277.05,2078.15,167.1,736.25,10.1,380.4,968.6,1903.55,122.1,253.3,530.85,732.2,2725.45,1776.65,83.05,372.25,1790.1,765.5,826.55,165.45,518.25,7700.05,4242.8,140.25,66485.2,166.55,142.95,167.95,43147.5,198.5,116.2,2485.9,36.35,225.05,126.85,2655.85,102.15,508.2,2367.2,2621.85,1181.35,908.7,498.4,987.2,441.15,245.45,1317.1,3758.75,1487.1,2520.85,2786.7,628.75,1500.75,6670.55,781.55,405.8,1260.85,601.8,299.8,956.4,2114.3,17512.4,111.9,300,3493.2,752.65,1980.7,9870.05,1287.55,17139.2,2107.55,482.85,320.3,711.6,466.6,655.4,430.25,707.75,4414.85,797.05,372.9,134.3,1136.7,1526.2,2300.4,333,4361,1697.95,128.4,862.75,1692.15,313.1,258.45,495.1,1524.3,2276.5,550.35,116.7,39764.75,1348.6,508,63.6,41.7,230.95,240.6,218.3,4451.25,1998.6,221.35,910,1027.4,798.2,2532.5,2597.8,596.7,6173.5,5121.3,120.7,899.4,1443.45,2091,774.25,795.75,3344.05,1354.75,338.1,122.05,4598.75,4048.95,38.15,17557.2,985.55,3587.55,2230.75,4722.75,4349.05,2858.7,2435.55,1916.2,202.6,773.45,137,871.45,1113.35,24612.85,351.65,597.3,1239.15,789.8,502.5,1268.45,1603.65
04-Apr-22,2119.45,2065.85,818.55,565.8,311.65,4564.95,197.5,121,3118,692.4,784.1,3763.65,7490.65,116.1,2022.25,219.45,709.1,767.8,54.4,346.45,14861.3,380.2,3270,363.4,241.3,1027.8,187.75,1562.25,680.8,544.65,4497.6,387.3,4317.15,2508.95,158.95,102.5,161.7,460.25,39.1,770.65,1679.7,1180.3,1187.05,2680.05,1656.8,2311.75,587.5,279.7,2128.45,173.3,746.6,10.25,391.95,987.2,1882.95,122.3,255.45,547.45,732.7,2796.5,1836.05,85.35,385.2,1826.35,790.55,833.7,168.1,530.1,7774.8,4315.7,143.2,67129.9,170.25,144.3,168.05,43713,198.3,119,2495.05,36.9,227.4,131.3,2663.7,106.4,512.4,2427.6,2636.3,1179,926.05,498.15,1001.95,446.75,251.95,1341.9,3770.35,1498.65,2517,2830.65,633.6,1523.5,6743.9,784.35,421.45,1276.75,605.6,302.75,972.35,2130.55,17549.6,113.9,298.75,3474.7,755.8,1980.45,9980.15,1308.7,17196.35,2129.95,505.1,318.85,722.35,471.85,661.9,463.55,699.55,4511.6,807.4,374.45,136.5,1128.25,1576.9,2313.7,333.65,4404.35,1765.05,132.55,880.8,1681.75,314.3,273.95,511.95,1560.95,2355,571.8,119.35,39866.6,1349.95,509.15,66.2,43.65,238.95,239.1,220.9,4821.9,2014.55,220.75,928,1030.45,832.7,2560.1,2731.7,600.45,6300.35,5194.25,121.9,909.1,1451.5,2235.95,791.25,826.05,3312.45,1362.3,347.05,125.95,4685.15,4093.6,39.2,17820.15,978.8,3668.85,2260.7,4791.5,4417,2863.85,2469.2,1909.85,205.2,786.55,141.9,876.15,1126.3,24765.05,359.9,614.5,1235.4,788.1,509.05,1294.65,1633.3
05-Apr-22,2149.65,2139.85,848.05,577.15,316.8,4554.25,200.15,123.3,3140.8,705.4,783.1,3809.7,7388.45,116,2017.8,218.6,727.35,766.6,56.05,347.3,14894.7,380,3303.4,365.45,242.95,1021.45,187.9,1586.7,683.55,548.95,4461.2,394.2,4329.9,2543.45,159.75,98.25,160.75,470.15,39.5,770.9,1702.3,1258.65,1195.45,2623.7,1608.25,2332.25,586.85,282.1,2139.8,178.55,741.8,10.35,389.3,973.25,1861.1,122.65,259.45,545.85,733.45,2823.2,1802.2,85.9,384.35,1836.05,776.2,836.55,170.45,543.9,7761.85,4389.5,145.25,67756.05,168.6,149.1,171.85,44332.85,199.6,120.3,2507.65,36.95,233.05,132.4,2626.05,105.75,509.4,2437.15,2709.5,1170.5,929.1,498.25,1003.75,458.05,273.6,1344.9,3814.8,1489.05,2549.2,2786.25,637,1559.35,6726.15,793.55,418.9,1315,599.15,300.15,987.05,2207.55,17628.25,113.25,309.55,3494.4,759.05,2045.6,10025.45,1314.85,16818.85,2122.5,502.95,315.35,723.95,489.65,648.9,462.2,704.6,4557.6,824.05,380.7,139.35,1126.85,1592.35,2326.5,324.05,4638.7,1864.3,132.95,902.85,1672.05,315.7,282.15,519.1,1552.75,2341.45,569.65,122.65,39859.85,1351.85,508.15,65.9,43.4,245.5,235.6,220.1,5069.35,1986.4,220.4,958.15,1032.45,822.35,2706.45,2778.9,608.55,6337.6,5171,123,928.3,1461.55,2415.35,779.85,828.65,3318.25,1365.95,354.95,125.6,4745.55,4100.3,39.95,18023.2,977.85,3676.55,2247.15,4915.7,4474,2912.35,2654.45,1917.45,204.85,802.15,141.45,839,1118.35,25157.95,366.6,614.15,1241.5,806.65,533.2,1319.2,1675.45
06-Apr-22,2145.5,2160,849.85,574.3,320.7,4511.75,197.45,124.7,3154,704.3,773.7,3801.8,7346.95,119.9,2017.5,220,727.35,775.65,56.75,350.3,14999.85,385.8,3282.5,369.5,247.85,1029,193.85,1591.3,711.35,541.45,4386.9,398.05,4276.75,2530.7,159.25,99.3,162.35,475.1,40.9,752.45,1699.75,1251.85,1170.5,2536.05,1550.85,2346.9,581.25,290.8,2142.05,178.4,741.6,10.8,382.25,968.3,1828.85,126.05,259.6,561.15,737.4,2768.65,1779.4,87.15,387.45,1852.8,772.8,827.85,168.7,521.3,7744.2,4338.55,144.15,67630.85,172.15,153,172.8,44423.7,200.1,121.9,2529.55,37.6,236.65,133.5,2619.05,110.5,513.95,2458.65,2684.7,1167.05,928.1,498.6,1000.55,456.15,289.8,1370.75,3755.35,1459.35,2540.05,2733.25,647.9,1554.75,6736.15,805.3,432.6,1322,593.55,290.9,973.6,2209.45,17676.15,113.65,315.55,3493.85,760.05,2054.25,9939.3,1336.4,16720,2093.7,511.5,315,726.85,482.45,654.45,468.15,702.75,4464.25,831.25,382.2,141.45,1119.25,1593.9,2329.35,332.7,4592.35,1889.4,132.7,897.65,1681.65,317.7,283.25,524.55,1547.8,2324.3,555.85,124.85,39673.1,1367.4,516.5,68.45,43.45,246.35,251.05,221.65,4996.5,1979.25,217.05,973.4,1022.35,791.95,2709.3,2700,605.25,6325.5,5141.25,122.8,928.45,1469.85,2404.8,776.6,820.7,3197.75,1365.6,350,130,4728.85,4133.7,41,18216.75,988.6,3685.05,2269.7,4874.7,4458.2,2894,2653.9,1902.45,195.95,805.95,139.8,854.1,1107.1,24733,377.1,609.35,1267.65,809.25,540.9,1328.3,1647.3
07-Apr-22,2136.7,2099.05,817.4,571.15,325.6,4536.5,197.1,126,3155,698.85,792.1,3802.25,7290.2,119.2,1963.6,234.35,729,762.4,56.55,353.35,14975.35,380.8,3294.1,369.15,246.65,1036.7,190.75,1586.95,685.2,550.55,4448.45,401.25,4317.4,2538.4,160.35,98.45,160.7,477.1,40.25,781.55,1681.95,1249.2,1173.3,2462.7,1516.75,2350.6,574.75,285.95,2164.8,176.3,748.55,10.9,383.5,972.6,1811,123.55,256.65,549.9,728.05,2752.8,1766.45,85.4,393.6,1826.3,784.6,834.3,169.8,512,7640.5,4271.05,141.7,67109.25,170.6,153.5,168.85,44108.8,200.15,122.3,2493.1,37.45,231.35,133.05,2572.85,109.1,514.95,2470.6,2688.6,1174.1,930.95,497.5,981,449.5,277.8,1349.5,3684.15,1468.55,2458.35,2752.5,637.95,1572.2,6736.65,803.35,425.5,1301.2,580.85,284.75,963.05,2192.15,18164.25,112.65,311.1,3503.1,774.85,2081.1,9998.25,1362,16553.9,2067.15,515.75,315.8,723.85,484.9,668.2,456.8,686.75,4389.15,818.4,375.65,140,1112.9,1589.2,2326.05,325.7,4463.4,1715.25,136.3,868.25,1666.85,312.3,286.45,517.15,1578.2,2286.7,559,121.55,40972.85,1396.65,521.55,63.9,42.45,238.75,250.3,220.7,4852.1,1980.4,218.5,952.2,1001.5,787.75,2747.85,2827.15,599.15,6206.25,4977.75,123.5,902.65,1460.8,2470.75,780.35,819.8,3165,1358.25,336.75,124.45,4818.05,4071.75,40.7,18188.4,980.15,3709.6,2354.25,4705.9,4474.05,2861.45,2610.35,1892.55,192.45,809.85,137.2,856.85,1108.85,24742.5,377.35,610.15,1328,804.9,537.35,1307.75,1659
08-Apr-22,2170.55,2170.95,839.3,573.85,337.35,4606.15,202.75,129.15,3206.25,700.7,794.9,3810.35,7366.6,120.3,1967.5,239.6,746.1,762.1,56.55,355,15036.5,384.55,3347.9,369.25,248.35,1011.6,194.55,1564.65,703.3,556.95,4505.95,396.1,4430.35,2555.2,162.05,100.2,162.15,479.15,40.5,811.65,1771.25,1267.95,1165.35,2458.25,1514.65,2362.45,581.75,296.4,2183.05,172.4,754.3,11.2,383.3,985.6,1814.6,126.95,267.8,562.8,756.6,2791.85,1784.5,85.1,391.2,1830.75,782.05,857.4,175.05,517.8,7557.95,4303.2,144.25,67782.85,174.45,152.05,170.9,44983.9,201.05,121.85,2525.15,37.75,232.6,133.8,2615.65,110.9,516.1,2518.6,2747.6,1207.2,924.6,512.7,999.6,452.05,278.1,1370.75,3685.65,1448.75,2509.95,2801.8,653.4,1590.8,6837,809.75,430.3,1317.6,583.65,286,969.65,2238.95,17999,113.55,308.4,3472.65,771.55,2060.4,9966.45,1389,16749,2116.5,511.05,323.8,734.6,489.6,658.25,464.75,741.75,4373.15,833.2,375.75,140.05,1130.9,1607.25,2361.8,328.45,4475.75,1610.2,135.3,883.05,1665.25,314.45,283.95,528.45,1620.2,2272.6,564.8,122.6,40794.6,1380.2,533.8,63.4,41.9,241.05,253.85,225.7,4924.5,2000.15,219.75,957.5,1027.65,790.35,2797.9,2803.75,605.1,6153.2,4993,122.6,903.1,1467.85,2475.3,801.2,828.8,3161.15,1374.95,336.25,126.85,4850.15,4095.45,40.4,18452.8,957.9,3700.2,2340.5,4710.9,4485.75,2919.9,2689.25,1880.35,194.85,812.35,128.1,854.35,1160.45,25260.65,380.1,648.35,1349.3,817.7,542.55,1269.65,1661.6
11-Apr-22,2232.9,2180.2,854.55,575.5,360.2,4662.15,201.5,130.55,3157.45,698.1,786.05,3787.15,7336.65,120.3,2019.75,243.95,740.1,758.05,56.6,351.35,14956.2,388.35,3350.65,371.95,246.1,1025.5,196.4,1560.75,700.15,552.4,4503.8,403.2,4380.5,2545.6,160.85,100.05,164.6,478.05,40,812.25,1820.15,1275.2,1133.5,2424.7,1496.15,2335.4,576.35,301.6,2163.05,172.95,759.6,10.85,385.95,980.45,1766.55,128.85,267.5,571.2,767.4,2788.55,1783.45,84.45,392,1781.5,785.5,856.85,175.7,519.55,7565.4,4232.4,144.25,67765.65,173.9,153.1,171.2,45689.45,202.9,120.75,2449.15,37.45,230.9,133.9,2610.2,109.95,514.9,2499.55,2698.9,1223.6,925.4,529.7,1006.65,452.05,282.9,1357.9,3696.4,1449.2,2489.85,2793.6,650.95,1574.75,6858.75,819.85,437.75,1303.05,571.1,290.8,959.65,2214.8,18067.8,116.35,306.1,3477.15,775.7,2086.55,10099.9,1397.2,16577.85,2084.15,516.95,322.85,732.1,496.45,663.2,476.2,744.1,4312.3,839.8,382.8,141.6,1121.85,1620.55,2287.6,322.45,4416.35,1603.85,133.85,848.2,1688.55,310.05,286.5,538.5,1679.4,2257,567.4,124.45,40340.7,1356,537.15,63.3,42.4,235.9,250.7,230.1,5066.15,1991.55,218.5,951.85,1037.3,801.4,2786.65,2763.25,601.3,6059.75,4798.85,123.45,910.4,1440.25,2467.8,795.7,832.55,3129.2,1371.35,331.4,124.25,4883.1,4071.9,41.55,18426.35,1001.2,3692.1,2321,4515.4,4476.45,2914,2664.25,1878.2,191.7,815.1,131.25,852.35,1142.5,25203.65,380.6,663.6,1335.75,821.5,560.1,1280.9,1698.2
12-Apr-22,2181.4,2196.95,844.9,568.5,359.65,4626.3,195.35,129.4,3128.65,681.15,798.45,3712.05,7274.5,120.15,1980.15,242.4,729.35,741.65,55.25,349.15,14652.1,380.6,3344.1,363.35,241.45,1027.25,186,1541.95,685.2,553.75,4473.4,393.55,4372.35,2521.8,156.4,98.45,166.7,475.2,39.4,806.1,1755.5,1255.8,1131.15,2425.7,1493.5,2297.9,542.35,288.9,2132.25,167.1,763.85,10.6,377.45,985.1,1742.45,126.05,264.8,558.25,755.9,2775.95,1801.85,82.95,386.8,1747.7,773.6,860.8,180.05,517.9,7618.35,4060.45,139.2,67585.7,169.65,152.6,168.9,44635.65,202.8,118.15,2375.7,36.75,233.1,130.8,2561.05,108.05,512.85,2450.6,2635.75,1180.9,921.3,518.4,974.65,438.3,275.15,1320.25,3691.1,1415,2488.2,2806.75,650.25,1542.2,6775.55,805.65,417,1302.8,558.7,282.3,956.25,2206.5,17819.15,117.85,296.25,3451.75,768.3,2129.45,9899,1400.95,16318.05,2085.5,500.35,333.45,722.3,460.5,655.5,458.35,740.7,4147.1,827.85,378.2,138.05,1095.25,1602.5,2258.25,317.2,4347,1539.65,128.95,857.3,1610.95,301.7,279.3,527.15,1670.95,2221.4,562.3,121,39777.55,1352.6,535.3,61.65,41.6,234.7,249,225.2,5009.45,1932.85,217,918.05,1041.35,783.6,2753.9,2653.8,594.25,5910.55,4592.6,123.15,900.45,1412.25,2419,774,816.3,3057.3,1347.6,330.45,119.9,4786.9,3987.9,40.45,18417.8,996.5,3603.5,2275,4382.75,4390.8,2999.8,2646.35,1921.85,186.7,799.75,131.75,844.95,1149.1,25122.65,367.7,646.3,1316.75,812.1,548.05,1250.5,1689.25
13-Apr-22,2208.65,2199.45,840.5,569.7,369.2,4744.45,195.45,127.65,3080.65,683.75,793.05,3697.3,7328.45,119.45,1960.55,247.1,733.05,740.65,54.7,350.7,14561.95,379,3349.65,364.8,242.65,1016.6,186.6,1530.65,674.55,555.9,4499.25,391.3,4299.2,2491.45,156.95,98.95,168.65,477.8,38.95,786.35,1765.95,1273.7,1125.1,2378.5,1464.95,2274.4,546.75,292.55,2152.15,166.35,762.25,10.4,389.9,983.4,1748.55,127.9,269.55,552.4,766.35,2780.8,1779.6,82.35,386,1760.8,773,866.1,181.95,519.7,7469.5,4098.95,139.2,67447.3,167.6,153.95,174.25,44817.1,204.25,118.2,2366.05,36.65,229.5,130.5,2551.65,106.5,517.7,2467,2611.05,1183.95,936.75,509.45,976.95,431.05,273.1,1319.5,3661.95,1410.45,2461.35,2849.5,650.05,1526.5,6730.05,818.65,425.8,1304.3,559.2,279.3,952.8,2226.7,17805.05,117.4,294.2,3420.25,770.15,2133.7,9706.1,1402.8,16090.05,2095.35,482.95,326.15,724.15,452.4,632.9,474.65,730.3,4160.8,840.65,377.9,139.4,1084.95,1630,2297.45,308.05,4431.85,1542.8,131.7,865.2,1603.25,299.95,278.85,531.8,1677.65,2198.25,564.85,121.2,40002.7,1358.65,541,61.2,41.35,235.45,252.5,224.9,4896.3,1899.2,216.7,913.1,1043.15,780.3,2795.85,2693.8,602.85,6038.8,4507.4,122.95,893.95,1402.2,2417.25,785.5,829.1,3050.8,1336.8,332,120.05,4753.85,3934,40.45,18382.4,997.5,3568.15,2283.45,4329.95,4418,2942.45,2617.85,1904.35,185.65,812.05,130.9,833.55,1146.9,25363.55,362.55,637.65,1302.55,817.6,548.05,1232.8,1661.3
18-Apr-22,2155.2,2233.85,842.7,568.45,363.4,4554.5,190.1,127.6,3021.55,673.7,798.85,3714.6,7261.45,113.9,1969.9,254.95,728.45,729.5,54.4,343.2,14573.2,371.75,3343.9,364.9,234.3,1027.85,189.45,1544.4,673.35,562.7,4524.9,388.85,4284.95,2511,154.95,96.95,167.95,467.95,38.6,796.35,1741.3,1279.8,1101.75,2263.5,1395.45,2285.4,545.35,283.35,2177.65,161.85,757.8,10.1,393.65,977.45,1621.4,128.1,270.1,553.05,767.85,2844.7,1750.4,82.05,376.75,1738.35,770.15,874.1,177.6,517.85,7573.5,3957.5,139.1,66944.95,168.25,163.2,175.8,45276.2,204,119,2364.35,36.2,231.1,130.8,2543.85,105.25,509.5,2444.2,2615.75,1164.25,927.5,505.65,988.05,433.8,257.9,1339.1,3528.05,1344.55,2493.45,2853.7,656,1508.55,6639.6,805.15,424.15,1247.25,538.6,274.15,939.45,2183.5,17341.15,114.65,293.2,3444.35,775.15,2100.85,9772.55,1380.2,15827.25,2084.25,491.25,322.5,718.95,425,626.25,507,724.85,4071.75,856,377.15,136.6,1080.8,1601.8,2269.1,303.9,4308.9,1547,127.45,887.8,1604.85,297.8,274,529.75,1737.95,2183.7,574.3,121.15,40422.6,1357.3,542.15,60.6,40.8,231,246.5,216.85,4856.15,1884.9,216.85,880.6,1023.05,767.2,2726.45,2696.95,598.05,5873.65,4305.15,123.1,886.9,1381,2421.45,772.8,823.85,2879.9,1319.15,331.6,119.7,4666.55,3964.25,39.6,18561.5,997,3587.15,2226.65,4215.35,4459.3,2923.2,2568.45,1825.4,179.95,804.1,130.2,811,1173.4,25435.35,354.65,639.4,1307.8,822.3,570.5,1223.5,1624.35
